timestamp,jumlah_orang,jarak_terdekat_m,durasi_terlama_s,skor_urgensi,status_mentah,status_stabil
2026-09-10T16:56:57,0,15.0,0.0,0.0,aman,aman
2026-09-10T16:56:57,0,15.0,0.0,0.0,aman,aman
2026-09-10T16:56:58,0,15.0,0.0,0.0,aman,aman
2026-09-10T16:56:58,0,15.0,0.0,0.0,aman,aman
2026-09-10T16:56:59,0,15.0,0.0,0.0,aman,aman
2026-09-10T16:56:59,1,9.0,0.0,15.6,aman,aman
2026-09-10T16:56:59,1,9.0,0.5,15.6,aman,aman
2026-09-10T16:57:00,1,9.0,0.9,15.6,aman,aman
2026-09-10T16:57:00,1,9.0,1.3,15.6,aman,aman
2026-09-10T16:57:01,1,9.0,1.7,15.6,aman,aman
2026-09-10T16:57:01,1,9.0,2.2,15.6,aman,aman
2026-09-10T16:57:02,1,9.0,2.6,15.6,aman,aman
2026-09-10T16:57:02,1,8.9,3.0,15.6,aman,aman
2026-09-10T16:57:02,1,8.8,3.5,15.6,aman,aman
2026-09-10T16:57:03,1,8.8,3.9,15.6,aman,aman
2026-09-10T16:57:03,1,8.6,4.4,15.6,aman,aman
2026-09-10T16:57:04,1,8.4,4.8,15.6,aman,aman
2026-09-10T16:57:04,1,8.2,5.2,15.6,aman,aman
2026-09-10T16:57:05,1,8.0,5.7,15.6,aman,aman
2026-09-10T16:57:05,1,7.9,6.1,16.8,aman,aman
2026-09-10T16:57:06,1,7.6,6.5,22.0,aman,aman
2026-09-10T16:57:06,1,7.3,7.0,25.7,aman,aman
2026-09-10T16:57:06,1,7.5,7.4,23.8,aman,aman
2026-09-10T16:57:07,1,7.0,7.8,29.8,aman,aman
2026-09-10T16:57:07,1,6.8,8.3,31.9,aman,aman
2026-09-10T16:57:08,1,7.0,8.7,29.0,aman,aman
2026-09-10T16:57:08,1,6.7,9.1,32.9,aman,aman
2026-09-10T16:57:09,1,6.3,9.6,36.5,siaga,aman
2026-09-10T16:57:09,1,6.5,10.0,34.6,siaga,siaga
2026-09-10T16:57:09,1,6.0,10.5,39.5,siaga,siaga
2026-09-10T16:57:10,1,6.0,10.9,38.9,siaga,siaga
2026-09-10T16:57:10,1,5.7,11.3,42.4,siaga,siaga
2026-09-10T16:57:11,1,5.5,11.8,44.4,siaga,siaga
2026-09-10T16:57:11,1,5.4,12.2,45.4,siaga,siaga
2026-09-10T16:57:12,1,5.0,12.6,50.0,siaga,siaga
2026-09-10T16:57:12,1,5.0,13.1,50.0,siaga,siaga
2026-09-10T16:57:12,1,4.6,13.5,50.0,siaga,siaga
2026-09-10T16:57:13,1,4.6,13.9,50.0,siaga,siaga
2026-09-10T16:57:13,1,4.3,14.4,50.0,siaga,siaga
2026-09-10T16:57:14,1,3.9,14.8,52.6,siaga,siaga
2026-09-10T16:57:14,1,3.6,15.3,57.4,siaga,siaga
2026-09-10T16:57:15,1,3.4,15.7,61.7,siaga,siaga
2026-09-10T16:57:15,1,3.1,16.1,65.9,siaga,siaga
2026-09-10T16:57:16,1,2.9,16.6,69.8,bahaya,siaga
2026-09-10T16:57:16,1,2.9,17.0,69.4,bahaya,bahaya
2026-09-10T16:57:16,1,2.6,17.4,74.0,bahaya,bahaya
2026-09-10T16:57:17,1,2.6,17.9,74.1,bahaya,bahaya
2026-09-10T16:57:17,1,2.3,18.3,79.0,bahaya,bahaya
2026-09-10T16:57:18,1,2.1,18.7,83.5,bahaya,bahaya
2026-09-10T16:57:18,1,2.1,19.2,83.5,bahaya,bahaya
2026-09-10T16:57:19,1,2.0,19.6,84.1,bahaya,bahaya
2026-09-10T16:57:19,1,2.0,20.0,84.4,bahaya,bahaya
2026-09-10T16:57:19,1,2.0,20.5,84.4,bahaya,bahaya
2026-09-10T16:57:20,1,2.0,20.9,84.4,bahaya,bahaya
2026-09-10T16:57:20,1,2.0,21.3,84.4,bahaya,bahaya
2026-09-10T16:57:21,1,2.0,21.8,84.4,bahaya,bahaya
2026-09-10T16:57:21,1,2.0,22.2,84.4,bahaya,bahaya
2026-09-10T16:57:22,1,2.0,22.6,84.4,bahaya,bahaya
2026-09-10T16:57:22,1,2.0,23.1,84.4,bahaya,bahaya
2026-09-10T16:57:23,1,2.0,23.5,84.4,bahaya,bahaya
2026-09-10T16:57:23,1,2.0,24.0,84.4,bahaya,bahaya
2026-09-10T16:57:23,1,2.0,24.5,84.4,bahaya,bahaya
2026-09-10T16:57:24,1,2.0,24.9,84.4,bahaya,bahaya
2026-09-10T16:57:24,1,2.0,25.4,84.4,bahaya,bahaya
2026-09-10T16:57:25,1,2.0,25.8,84.4,bahaya,bahaya
2026-09-10T16:57:25,1,2.0,26.2,84.4,bahaya,bahaya
2026-09-10T16:57:26,1,2.0,26.7,84.4,bahaya,bahaya
2026-09-10T16:57:26,1,2.0,27.1,84.4,bahaya,bahaya
2026-09-10T16:57:27,1,2.0,27.5,84.4,bahaya,bahaya
2026-09-10T16:57:27,1,2.2,28.0,80.6,bahaya,bahaya
2026-09-10T16:57:27,1,2.4,28.4,77.1,bahaya,bahaya
2026-09-10T16:57:28,1,2.6,28.8,74.9,bahaya,bahaya
2026-09-10T16:57:28,1,2.6,29.3,74.5,bahaya,bahaya
2026-09-10T16:57:29,1,2.6,29.8,74.5,bahaya,bahaya
2026-09-10T16:57:29,1,2.6,30.2,73.7,bahaya,bahaya
2026-09-10T16:57:30,1,2.9,30.6,70.3,bahaya,bahaya
2026-09-10T16:57:30,1,2.8,31.1,70.8,bahaya,bahaya
2026-09-10T16:57:31,1,3.1,31.5,67.0,bahaya,bahaya
2026-09-10T16:57:31,1,3.3,32.0,63.3,siaga,bahaya
2026-09-10T16:57:31,1,3.3,32.4,63.3,siaga,bahaya
2026-09-10T17:05:14,0,15.0,0.0,0.0,aman,aman
2026-09-10T17:05:14,0,15.0,0.0,0.0,aman,aman
2026-09-10T17:05:15,1,9.0,0.0,15.6,aman,aman
2026-09-10T17:05:15,1,9.0,0.5,15.6,aman,aman
2026-09-10T17:05:15,1,8.9,1.0,15.6,aman,aman
2026-09-10T17:05:16,1,8.9,1.4,15.6,aman,aman
2026-09-10T17:05:16,1,9.0,1.9,15.6,aman,aman
2026-09-10T17:05:17,1,9.0,2.4,15.6,aman,aman
2026-09-10T17:05:17,1,9.0,2.8,15.6,aman,aman
2026-09-10T17:05:18,1,8.9,3.3,15.6,aman,aman
2026-09-10T17:05:18,1,9.0,3.8,15.6,aman,aman
2026-09-10T17:05:19,1,8.9,4.2,15.6,aman,aman
2026-09-10T17:05:19,1,8.9,4.6,15.6,aman,aman
2026-09-10T17:05:20,1,8.9,5.1,15.6,aman,aman
2026-09-10T17:05:20,1,9.0,5.5,15.6,aman,aman
2026-09-10T17:05:21,1,8.9,6.0,15.6,aman,aman
2026-09-10T17:05:21,1,8.9,6.5,15.6,aman,aman
2026-09-10T17:05:21,1,8.9,7.0,15.6,aman,aman
2026-09-10T17:05:22,1,9.0,7.4,15.6,aman,aman
2026-09-10T17:05:22,1,8.9,7.9,15.6,aman,aman
2026-09-10T17:05:23,1,8.9,8.3,15.6,aman,aman
2026-09-10T17:05:23,1,9.0,8.8,15.6,aman,aman
2026-09-10T17:05:24,1,8.8,9.2,15.6,aman,aman
2026-09-10T17:05:24,1,8.9,9.7,15.6,aman,aman
2026-09-10T17:05:25,1,9.0,10.2,15.6,aman,aman
2026-09-10T17:05:25,1,9.0,10.6,15.6,aman,aman
2026-09-10T17:05:26,1,8.9,11.1,15.6,aman,aman
