timestamp,status_mesin,status_idle,durasi_idle_s,getaran_g,sw420_terdeteksi,gps_fix,gps_lat,gps_lon
2026-09-25T18:26:31,MATI,AMAN,0,0.0149,0,0,0.0,0.0
2026-09-25T18:30:33,MATI,AMAN,0,0.016,0,0,0.0,0.0
2026-09-25T18:30:50,MATI,AMAN,0,0.0152,0,0,0.0,0.0
2026-09-25T19:22:23,MATI,AMAN,0,0.0157,0,0,0.0,0.0
2026-09-25T19:22:44,MATI,AMAN,0,0.0146,0,0,0.0,0.0
2026-09-25T19:23:00,MATI,AMAN,0,0.0264,0,0,0.0,0.0
2026-09-25T19:23:17,MATI,AMAN,0,0.0146,0,0,0.0,0.0
2026-09-25T19:23:33,MATI,AMAN,0,0.0168,0,0,0.0,0.0
2026-09-25T19:23:49,MATI,AMAN,0,0.0163,0,0,0.0,0.0
2026-09-25T19:24:06,MATI,AMAN,0,0.0151,0,0,0.0,0.0
2026-09-25T19:24:22,MATI,AMAN,0,0.0147,0,0,0.0,0.0
2026-09-25T19:24:39,MATI,AMAN,0,0.0174,0,0,0.0,0.0
2026-09-25T19:24:56,MATI,AMAN,0,0.0161,0,0,0.0,0.0
2026-09-25T19:25:12,MATI,AMAN,0,0.0161,0,0,0.0,0.0
2026-09-25T19:25:28,MATI,AMAN,0,0.0161,0,0,0.0,0.0
2026-09-25T19:25:45,MATI,AMAN,0,0.0159,0,0,0.0,0.0
2026-09-25T19:26:01,MATI,AMAN,0,0.0166,0,0,0.0,0.0
2026-09-25T19:26:18,MATI,AMAN,0,0.0153,0,0,0.0,0.0
2026-09-25T19:26:34,MATI,AMAN,0,0.0136,0,0,0.0,0.0
2026-09-25T19:26:51,MATI,AMAN,0,0.0165,0,0,0.0,0.0
2026-09-25T19:27:07,MATI,AMAN,0,0.0158,0,0,0.0,0.0
2026-09-25T19:27:24,MATI,AMAN,0,0.0163,0,0,0.0,0.0
2026-09-25T20:24:58,MATI,AMAN,0,0.0164,0,0,0.0,0.0
2026-09-25T20:25:05,MATI,AMAN,0,0.0162,0,0,0.0,0.0
2026-09-25T20:25:08,MATI,AMAN,0,0.0163,0,0,0.0,0.0
2026-09-25T20:25:10,MATI,AMAN,0,0.0171,0,0,0.0,0.0
2026-09-25T20:25:13,MATI,AMAN,0,0.0168,0,0,0.0,0.0
2026-09-25T20:25:15,MATI,AMAN,0,0.0169,0,0,0.0,0.0
2026-09-25T20:25:17,MATI,AMAN,0,0.0168,0,0,0.0,0.0
2026-09-25T20:25:20,MATI,AMAN,0,0.0157,0,0,0.0,0.0
2026-09-25T20:25:23,MATI,AMAN,0,0.0159,0,0,0.0,0.0
2026-09-25T20:25:27,MATI,AMAN,0,0.0171,0,0,0.0,0.0
2026-09-25T20:25:30,MATI,AMAN,0,0.0161,0,0,0.0,0.0
2026-09-25T20:25:33,MATI,AMAN,0,0.0166,0,0,0.0,0.0
2026-09-25T20:25:35,MATI,AMAN,0,0.0159,0,0,0.0,0.0
2026-09-25T20:25:38,MATI,AMAN,0,0.0159,0,0,0.0,0.0
2026-09-25T20:25:40,MATI,AMAN,0,0.0159,0,0,0.0,0.0
2026-09-25T20:25:43,MATI,AMAN,0,0.0155,0,0,0.0,0.0
2026-09-25T20:25:45,MATI,AMAN,0,0.0155,0,0,0.0,0.0
2026-09-25T20:25:48,MATI,AMAN,0,0.0178,0,0,0.0,0.0
2026-09-25T20:25:50,MATI,AMAN,0,0.015,0,0,0.0,0.0
2026-09-25T20:25:53,MATI,AMAN,0,0.0154,0,0,0.0,0.0
2026-09-25T20:25:55,MATI,AMAN,0,0.0162,0,0,0.0,0.0
2026-09-25T20:25:58,MATI,AMAN,0,0.017,0,0,0.0,0.0
2026-09-25T20:29:17,MATI,AMAN,0,0.0168,0,0,0.0,0.0
2026-09-25T20:29:21,MATI,AMAN,0,0.0162,0,0,0.0,0.0
2026-09-25T20:29:24,MATI,AMAN,0,0.0155,0,0,0.0,0.0
2026-09-25T20:29:26,MATI,AMAN,0,0.0164,0,0,0.0,0.0
2026-09-25T20:29:28,MATI,AMAN,0,0.016,0,0,0.0,0.0
2026-09-25T20:29:31,MATI,AMAN,0,0.0171,0,0,0.0,0.0
2026-09-25T20:29:33,MATI,AMAN,0,0.0155,0,0,0.0,0.0
2026-09-25T20:29:36,MATI,AMAN,0,0.016,0,0,0.0,0.0
2026-09-25T20:29:38,MATI,AMAN,0,0.0157,0,0,0.0,0.0
2026-09-25T20:29:41,MATI,AMAN,0,0.0159,0,0,0.0,0.0
2026-09-25T20:29:43,MATI,AMAN,0,0.0168,0,0,0.0,0.0
2026-09-25T20:29:45,MATI,AMAN,0,0.0165,0,0,0.0,0.0
2026-09-25T20:29:48,MATI,AMAN,0,0.0162,0,0,0.0,0.0
2026-09-25T20:29:50,MATI,AMAN,0,0.0165,0,0,0.0,0.0
2026-09-25T20:29:53,MATI,AMAN,0,0.0153,0,0,0.0,0.0
2026-09-25T20:29:55,MATI,AMAN,0,0.0172,0,0,0.0,0.0
2026-09-25T20:29:58,MATI,AMAN,0,0.0165,0,0,0.0,0.0
2026-09-25T20:30:00,MATI,AMAN,0,0.0173,0,0,0.0,0.0
2026-09-25T20:30:03,MATI,AMAN,0,0.0159,0,0,0.0,0.0
2026-09-25T20:30:05,MATI,AMAN,0,0.0155,0,0,0.0,0.0
2026-09-25T20:30:07,MATI,AMAN,0,0.0164,0,0,0.0,0.0
2026-09-25T20:30:10,MATI,AMAN,0,0.0158,0,0,0.0,0.0
2026-09-25T20:30:12,MATI,AMAN,0,0.0165,0,0,0.0,0.0
2026-09-25T20:30:15,MATI,AMAN,0,0.0172,0,0,0.0,0.0
2026-09-25T20:30:17,MATI,AMAN,0,0.016,0,0,0.0,0.0
2026-09-25T20:30:19,MATI,AMAN,0,0.0162,0,0,0.0,0.0
2026-09-25T20:30:22,MATI,AMAN,0,0.0166,0,0,0.0,0.0
2026-09-25T20:30:24,MATI,AMAN,0,0.0165,0,0,0.0,0.0
2026-09-25T20:30:27,MATI,AMAN,0,0.0178,0,0,0.0,0.0
2026-09-25T20:30:29,MATI,AMAN,0,0.0144,0,0,0.0,0.0
2026-09-25T20:30:31,MATI,AMAN,0,0.016,0,0,0.0,0.0
2026-09-25T20:30:34,MATI,AMAN,0,0.0174,0,0,0.0,0.0
2026-09-25T20:30:36,MATI,AMAN,0,0.0163,0,0,0.0,0.0
2026-09-25T20:30:39,MATI,AMAN,0,0.0169,0,0,0.0,0.0
2026-09-25T20:30:41,MATI,AMAN,0,0.0158,0,0,0.0,0.0
2026-09-25T20:30:43,MATI,AMAN,0,0.0173,0,0,0.0,0.0
2026-09-25T20:30:46,MATI,AMAN,0,0.0167,0,0,0.0,0.0
2026-09-25T20:30:48,MATI,AMAN,0,0.016,0,0,0.0,0.0
2026-09-25T20:30:51,MATI,AMAN,0,0.0175,0,0,0.0,0.0
2026-09-25T20:30:53,MATI,AMAN,0,0.0134,0,0,0.0,0.0
